"","Param","Recov","CI.LB","CI.UB","type","Time"
"63","Lai2",0.386965852630649,0.306649370360816,0.461810680295946,1,"Time2"
"64","PI",0.659063608186539,0.626375928693608,0.689437589316095,1,"Time1"
"65","PI",0.697896074909833,0.668186881438444,0.725383124066492,1,"Time2"
"66","Ab",0.458436883940946,0.194802642382607,0.660294978640513,0,"Meta"
"67","Calanchini",0.164818551828465,-0.0277224472416775,0.345567331096476,1,"Time1"
"68","Calanchini",0.286906680434319,0.100783523105523,0.45362696294485,1,"Time2"
"69","Forscher",0.448405294110369,0.11819126346711,0.689319821084707,1,"Time1"
"70","Forscher",0.254970562645178,-0.102869165233669,0.554376728504118,1,"Time2"
"71","Gawronski",0.556632277574204,0.416592897156742,0.670867073600603,1,"Time1"
"72","Gawronski",0.668631771685443,0.55382831988527,0.758486806524585,1,"Time2"
"73","Lai1",-0.347125293580212,-0.526673197799343,-0.137928073962437,1,"Time1"
"74","Lai1",0.233959318006683,0.0150142253053575,0.431495279109401,1,"Time2"
"75","Lai2",0.76980624371069,0.729878920507275,0.804498786276893,1,"Time1"
"76","Lai2",0.61407108533582,0.553939537403223,0.667829309702892,1,"Time2"
"77","PI",0.628440901972113,0.593536538821627,0.660985579086789,1,"Time1"
"78","PI",0.704302331915078,0.675102584096214,0.731298748429327,1,"Time2"
